20141224083400,120.701,120.702,120.697,120.699,120.705,120.700
20141224083500,120.699,120.701,120.690,120.699,120.715,120.701
20141224083600,120.699,120.709,120.696,120.706,120.712,120.699
20141224083700,120.706,120.708,120.705,120.708,120.711,120.708
20141224083800,120.708,120.717,120.707,120.713,120.720,120.710
20141224083900,120.713,120.715,120.706,120.711,120.718,120.709
20141224084000,120.711,120.711,120.689,120.699,120.714,120.699
20141224084100,120.699,120.699,120.679,120.683,120.708,120.688
20141224084200,120.683,120.701,120.683,120.695,120.707,120.696
20141224084300,120.695,120.700,120.687,120.688,120.703,120.690
20141224084400,120.688,120.688,120.681,120.685,120.691,120.684
20141224084500,120.685,120.689,120.684,120.686,120.692,120.687
20141224084600,120.686,120.687,120.683,120.687,120.690,120.686
20141224084700,120.687,120.727,120.683,120.716,120.730,120.686
20141224084800,120.716,120.718,120.684,120.699,120.721,120.687
20141224084900,120.695,120.698,120.690,120.693,120.701,120.693
20141224085000,120.692,120.703,120.692,120.700,120.706,120.695
20141224085100,120.700,120.712,120.696,120.711,120.715,120.699
20141224085200,120.711,120.714,120.697,120.698,120.717,120.700
20141224085300,120.698,120.710,120.697,120.707,120.713,120.700
20141224085400,120.707,120.708,120.697,120.707,120.711,120.700
20141224085500,120.707,120.729,120.701,120.713,120.732,120.704
20141224085600,120.713,120.713,120.702,120.707,120.716,120.705
20141224085700,120.707,120.707,120.700,120.706,120.710,120.703
20141224085800,120.706,120.706,120.698,120.700,120.709,120.701
20141224085900,120.701,120.701,120.671,120.677,120.704,120.674
20141224090000,120.677,120.707,120.677,120.704,120.710,120.680
20141224090100,120.703,120.704,120.692,120.698,120.707,120.695
20141224090200,120.697,120.705,120.690,120.702,120.708,120.693
20141224090300,120.702,120.702,120.672,120.676,120.705,120.675
20141224090400,120.675,120.682,120.668,120.668,120.685,120.671
20141224090500,120.667,120.673,120.643,120.650,120.676,120.646
20141224090600,120.649,120.676,120.648,120.673,120.679,120.651
20141224090700,120.674,120.674,120.660,120.661,120.677,120.663
20141224090800,120.662,120.662,120.647,120.652,120.665,120.650
20141224090900,120.651,120.663,120.647,120.659,120.666,120.650
20141224091000,120.659,120.665,120.633,120.633,120.668,120.636
20141224091100,120.637,120.646,120.618,120.633,120.649,120.621
20141224091200,120.634,120.665,120.631,120.660,120.668,120.634
20141224091300,120.660,120.668,120.640,120.657,120.671,120.643
20141224091400,120.656,120.660,120.646,120.658,120.663,120.649
20141224091500,120.658,120.672,120.656,120.671,120.675,120.659
20141224091600,120.671,120.679,120.666,120.671,120.682,120.669
20141224091700,120.671,120.688,120.669,120.677,120.691,120.672
20141224091800,120.677,120.688,120.673,120.675,120.691,120.676
20141224091900,120.675,120.682,120.673,120.675,120.685,120.676
20141224092000,120.675,120.698,120.670,120.675,120.701,120.673
20141224092100,120.675,120.687,120.672,120.677,120.690,120.675
20141224092200,120.678,120.691,120.671,120.675,120.694,120.674
20141224092300,120.674,120.680,120.670,120.674,120.683,120.673
20141224092400,120.674,120.674,120.667,120.670,120.677,120.670
20141224092500,120.670,120.681,120.670,120.671,120.684,120.673
20141224092600,120.672,120.672,120.647,120.657,120.675,120.650
20141224092700,120.657,120.659,120.650,120.652,120.662,120.653
20141224092800,120.652,120.658,120.647,120.654,120.661,120.650
20141224092900,120.654,120.657,120.645,120.657,120.660,120.648
20141224093000,120.657,120.660,120.652,120.657,120.663,120.655
20141224093100,120.657,120.686,120.657,120.669,120.689,120.660
20141224093200,120.669,120.675,120.659,120.663,120.678,120.662
20141224093300,120.663,120.674,120.660,120.671,120.677,120.663
20141224093400,120.671,120.674,120.653,120.657,120.677,120.656
20141224093500,120.656,120.664,120.656,120.659,120.667,120.659
20141224093600,120.659,120.659,120.646,120.659,120.662,120.649
20141224093700,120.659,120.663,120.646,120.649,120.666,120.649
20141224093800,120.649,120.654,120.648,120.648,120.657,120.651
20141224093900,120.648,120.657,120.635,120.644,120.660,120.638
20141224094000,120.644,120.644,120.612,120.625,120.647,120.615
20141224094100,120.625,120.627,120.623,120.626,120.630,120.626
20141224094200,120.626,120.634,120.622,120.627,120.637,120.625
20141224094300,120.628,120.642,120.625,120.626,120.645,120.628
20141224094400,120.626,120.639,120.590,120.590,120.642,120.593
20141224094500,120.601,120.608,120.579,120.590,120.611,120.582
20141224094600,120.598,120.603,120.587,120.594,120.606,120.590
20141224094700,120.594,120.594,120.573,120.574,120.597,120.576
20141224094800,120.575,120.603,120.575,120.587,120.606,120.578
20141224094900,120.587,120.591,120.577,120.586,120.594,120.580
20141224095000,120.588,120.598,120.583,120.588,120.601,120.586
20141224095100,120.588,120.590,120.582,120.587,120.593,120.585
20141224095200,120.587,120.596,120.580,120.595,120.599,120.583
20141224095300,120.595,120.596,120.578,120.583,120.599,120.581
20141224095400,120.583,120.610,120.576,120.583,120.613,120.579
20141224095500,120.616,120.616,120.571,120.573,120.619,120.574
20141224095600,120.573,120.575,120.528,120.538,120.578,120.531
20141224095700,120.538,120.550,120.527,120.549,120.553,120.530
20141224095800,120.548,120.554,120.521,120.525,120.557,120.524
20141224095900,120.525,120.539,120.503,120.517,120.542,120.506
20141224100000,120.518,120.526,120.492,120.496,120.529,120.495
20141224100100,120.496,120.510,120.473,120.504,120.513,120.476
20141224100200,120.505,120.533,120.503,120.533,120.536,120.506
20141224100300,120.532,120.548,120.529,120.542,120.551,120.532
20141224100400,120.543,120.543,120.527,120.533,120.546,120.530
20141224100500,120.534,120.550,120.534,120.544,120.553,120.537
20141224100600,120.544,120.545,120.535,120.537,120.548,120.538
20141224100700,120.536,120.539,120.527,120.535,120.542,120.530
20141224100800,120.534,120.546,120.530,120.544,120.549,120.533
20141224100900,120.544,120.571,120.544,120.550,120.574,120.547
20141224101000,120.550,120.564,120.549,120.559,120.567,120.552
20141224101100,120.559,120.560,120.545,120.547,120.563,120.548
20141224101200,120.547,120.553,120.544,120.548,120.556,120.547
20141224101300,120.546,120.549,120.538,120.542,120.552,120.541
20141224101400,120.541,120.545,120.528,120.531,120.548,120.531
20141224101500,120.531,120.543,120.516,120.527,120.546,120.519
20141224101600,120.523,120.530,120.509,120.509,120.533,120.512
20141224101700,120.511,120.514,120.479,120.495,120.517,120.482
20141224101800,120.496,120.511,120.495,120.509,120.514,120.498
20141224101900,120.511,120.527,120.511,120.526,120.530,120.514
20141224102000,120.526,120.530,120.514,120.519,120.533,120.517
20141224102100,120.518,120.521,120.514,120.516,120.524,120.517
20141224102200,120.515,120.515,120.499,120.504,120.518,120.502
20141224102300,120.504,120.519,120.497,120.516,120.522,120.500
20141224102400,120.516,120.526,120.508,120.515,120.529,120.511
20141224102500,120.517,120.517,120.493,120.498,120.520,120.496
20141224102600,120.499,120.503,120.472,120.474,120.506,120.475
20141224102700,120.475,120.475,120.452,120.472,120.478,120.455
20141224102800,120.472,120.474,120.456,120.457,120.477,120.459
20141224102900,120.456,120.468,120.455,120.467,120.471,120.458
20141224103000,120.468,120.477,120.458,120.471,120.480,120.461
20141224103100,120.471,120.483,120.463,120.483,120.486,120.466
20141224103200,120.484,120.486,120.481,120.483,120.489,120.484
20141224103300,120.483,120.502,120.482,120.492,120.505,120.485
20141224103400,120.492,120.522,120.492,120.516,120.525,120.495
20141224103500,120.516,120.516,120.502,120.515,120.519,120.505
20141224103600,120.515,120.533,120.514,120.533,120.536,120.517
20141224103700,120.532,120.533,120.514,120.525,120.536,120.517
20141224103800,120.519,120.527,120.499,120.509,120.530,120.502
20141224103900,120.507,120.512,120.499,120.499,120.515,120.502
20141224104000,120.499,120.505,120.495,120.501,120.508,120.498
20141224104100,120.501,120.509,120.496,120.498,120.512,120.499
20141224104200,120.498,120.498,120.492,120.494,120.501,120.495
20141224104300,120.494,120.498,120.481,120.485,120.501,120.484
20141224104400,120.485,120.498,120.482,120.497,120.501,120.485
20141224104500,120.497,120.503,120.493,120.500,120.506,120.496
20141224104600,120.499,120.503,120.467,120.471,120.506,120.470
20141224104700,120.471,120.475,120.451,120.451,120.478,120.454
20141224104800,120.451,120.466,120.449,120.466,120.469,120.452
20141224104900,120.465,120.469,120.452,120.469,120.472,120.455
20141224105000,120.474,120.487,120.455,120.456,120.490,120.458
20141224105100,120.456,120.486,120.456,120.484,120.489,120.459
20141224105200,120.483,120.499,120.480,120.496,120.502,120.483
20141224105300,120.496,120.496,120.481,120.485,120.499,120.484
20141224105400,120.484,120.490,120.479,120.479,120.493,120.482
20141224105500,120.480,120.486,120.479,120.479,120.489,120.482
20141224105600,120.478,120.480,120.466,120.468,120.483,120.469
20141224105700,120.468,120.475,120.468,120.469,120.478,120.471
20141224105800,120.471,120.491,120.468,120.487,120.494,120.471
20141224105900,120.489,120.494,120.485,120.489,120.497,120.488
20141224110000,120.489,120.499,120.489,120.498,120.502,120.492
20141224110100,120.497,120.498,120.482,120.487,120.501,120.485
20141224110200,120.486,120.489,120.483,120.488,120.492,120.486
20141224110300,120.488,120.490,120.475,120.479,120.493,120.478
20141224110400,120.480,120.482,120.422,120.425,120.485,120.425
20141224110500,120.430,120.431,120.385,120.406,120.434,120.398
20141224110600,120.406,120.411,120.397,120.409,120.414,120.400
20141224110700,120.408,120.424,120.407,120.415,120.427,120.410
20141224110800,120.415,120.425,120.415,120.422,120.428,120.418
20141224110900,120.422,120.425,120.392,120.396,120.428,120.395
20141224111000,120.397,120.400,120.354,120.357,120.403,120.357
20141224111100,120.358,120.376,120.356,120.360,120.396,120.359
20141224111200,120.363,120.373,120.337,120.345,120.376,120.340
20141224111300,120.342,120.350,120.281,120.310,120.353,120.286
20141224111400,120.307,120.329,120.277,120.279,120.332,120.280
20141224111500,120.281,120.341,120.281,120.325,120.355,120.284
20141224111600,120.324,120.346,120.324,120.344,120.349,120.327
20141224111700,120.344,120.344,120.338,120.341,120.347,120.341
20141224111800,120.340,120.340,120.323,120.326,120.343,120.326
20141224111900,120.326,120.358,120.326,120.346,120.361,120.329
20141224112000,120.347,120.366,120.346,120.359,120.369,120.349
20141224112100,120.359,120.359,120.342,120.345,120.362,120.345
20141224112200,120.344,120.345,120.339,120.343,120.348,120.342
20141224112300,120.343,120.358,120.338,120.341,120.361,120.341
20141224112400,120.340,120.346,120.329,120.345,120.349,120.332
20141224112500,120.345,120.361,120.336,120.353,120.364,120.339
20141224112600,120.353,120.357,120.348,120.357,120.360,120.351
20141224112700,120.357,120.359,120.336,120.337,120.362,120.339
20141224112800,120.338,120.342,120.307,120.310,120.345,120.310
20141224112900,120.310,120.314,120.296,120.311,120.317,120.299
20141224113000,120.311,120.330,120.310,120.327,120.333,120.313
20141224113100,120.326,120.344,120.326,120.343,120.347,120.329
20141224113200,120.343,120.345,120.338,120.338,120.348,120.341
20141224113300,120.338,120.356,120.335,120.354,120.359,120.338
20141224113400,120.355,120.384,120.341,120.374,120.387,120.344
20141224113500,120.374,120.384,120.369,120.383,120.387,120.372
20141224113600,120.383,120.387,120.369,120.372,120.390,120.372
20141224113700,120.372,120.385,120.368,120.381,120.388,120.371
20141224113800,120.384,120.397,120.377,120.396,120.400,120.380
20141224113900,120.397,120.398,120.390,120.393,120.401,120.393
20141224114000,120.393,120.394,120.368,120.384,120.397,120.371
20141224114100,120.384,120.395,120.379,120.388,120.398,120.382
20141224114200,120.387,120.389,120.377,120.383,120.392,120.380
20141224114300,120.383,120.383,120.359,120.363,120.386,120.362
20141224114400,120.363,120.374,120.358,120.367,120.377,120.361
20141224114500,120.367,120.384,120.363,120.382,120.387,120.366
20141224114600,120.382,120.386,120.378,120.378,120.389,120.381
20141224114700,120.378,120.382,120.366,120.369,120.385,120.369
20141224114800,120.367,120.376,120.366,120.371,120.379,120.369
20141224114900,120.371,120.373,120.367,120.373,120.376,120.370
20141224115000,120.373,120.386,120.368,120.386,120.389,120.371
20141224115100,120.387,120.394,120.381,120.389,120.397,120.384
20141224115200,120.389,120.399,120.387,120.399,120.402,120.390
20141224115300,120.399,120.409,120.398,120.406,120.412,120.401
20141224115400,120.411,120.415,120.401,120.413,120.418,120.404
20141224115500,120.412,120.424,120.409,120.411,120.427,120.412
20141224115600,120.411,120.415,120.398,120.399,120.418,120.401
20141224115700,120.401,120.414,120.398,120.410,120.417,120.401
20141224115800,120.410,120.425,120.409,120.413,120.428,120.412
20141224115900,120.413,120.414,120.400,120.410,120.417,120.403
20141224120000,120.410,120.424,120.410,120.414,120.427,120.413
20141224120100,120.417,120.424,120.408,120.424,120.427,120.411
20141224120200,120.423,120.432,120.417,120.428,120.435,120.420
20141224120300,120.429,120.436,120.417,120.435,120.439,120.420
20141224120400,120.436,120.441,120.430,120.438,120.444,120.433
20141224120500,120.438,120.448,120.438,120.442,120.451,120.441
20141224120600,120.442,120.456,120.438,120.455,120.459,120.441
20141224120700,120.455,120.460,120.444,120.458,120.463,120.447
20141224120800,120.457,120.461,120.446,120.455,120.464,120.449
20141224120900,120.455,120.460,120.452,120.457,120.463,120.455
20141224121000,120.458,120.462,120.452,120.456,120.465,120.455
20141224121100,120.458,120.460,120.452,120.453,120.463,120.455
20141224121200,120.453,120.453,120.442,120.448,120.456,120.445
20141224121300,120.448,120.455,120.437,120.439,120.458,120.440
20141224121400,120.442,120.445,120.435,120.442,120.448,120.438
20141224121500,120.442,120.456,120.440,120.450,120.459,120.443
20141224121600,120.451,120.458,120.444,120.445,120.461,120.447
20141224121700,120.445,120.451,120.439,120.441,120.454,120.442
20141224121800,120.442,120.447,120.438,120.442,120.450,120.441
20141224121900,120.441,120.445,120.412,120.417,120.448,120.415
20141224122000,120.419,120.426,120.413,120.426,120.429,120.416
20141224122100,120.426,120.426,120.412,120.424,120.429,120.415
20141224122200,120.423,120.427,120.413,120.413,120.430,120.416
20141224122300,120.413,120.420,120.402,120.404,120.423,120.405
20141224122400,120.403,120.406,120.388,120.392,120.409,120.391
20141224122500,120.393,120.396,120.391,120.396,120.399,120.394
20141224122600,120.396,120.399,120.390,120.392,120.402,120.393
20141224122700,120.392,120.403,120.387,120.387,120.406,120.390
20141224122800,120.386,120.394,120.367,120.385,120.397,120.370
20141224122900,120.386,120.389,120.382,120.389,120.392,120.385
20141224123000,120.389,120.403,120.386,120.398,120.406,120.389
20141224123100,120.398,120.402,120.382,120.399,120.405,120.385
20141224123200,120.399,120.402,120.391,120.399,120.405,120.394
20141224123300,120.399,120.407,120.399,120.402,120.410,120.402
20141224123400,120.402,120.406,120.385,120.396,120.409,120.388
20141224123500,120.397,120.401,120.388,120.398,120.404,120.391
20141224123600,120.399,120.403,120.398,120.398,120.406,120.401
20141224123700,120.399,120.416,120.399,120.411,120.419,120.402
20141224123800,120.412,120.425,120.410,120.424,120.428,120.413
20141224123900,120.423,120.447,120.422,120.446,120.450,120.425
20141224124000,120.446,120.448,120.424,120.441,120.451,120.427
20141224124100,120.441,120.444,120.432,120.442,120.447,120.435
20141224124200,120.443,120.462,120.441,120.454,120.465,120.444
